it,00_0,01_0,10_0,11_0
949,2.13707e-05,-6.01188e-06,-6.01188e-06,1.76811e-05
950,2.14133e-05,-5.96411e-06,-5.96411e-06,1.75312e-05
951,2.13928e-05,-5.973e-06,-5.973e-06,1.76588e-05
952,2.16873e-05,-6.22015e-06,-6.22015e-06,1.7938e-05
953,2.13756e-05,-5.82762e-06,-5.82762e-06,1.78491e-05
954,2.17198e-05,-6.07925e-06,-6.07925e-06,1.75449e-05
955,2.18405e-05,-6.23674e-06,-6.23674e-06,1.77937e-05
956,2.17489e-05,-6.14772e-06,-6.14772e-06,1.78579e-05
957,2.1672e-05,-6.10575e-06,-6.10575e-06,1.76181e-05
958,2.14166e-05,-6.03332e-06,-6.03332e-06,1.79001e-05
959,2.15069e-05,-6.17019e-06,-6.17019e-06,1.78695e-05
960,2.14016e-05,-5.94766e-06,-5.94766e-06,1.76863e-05
961,2.17616e-05,-6.26628e-06,-6.26628e-06,1.78445e-05
962,2.15718e-05,-6.10187e-06,-6.10187e-06,1.75494e-05
963,2.1344e-05,-5.95694e-06,-5.95694e-06,1.77171e-05
964,2.16012e-05,-5.97257e-06,-5.97257e-06,1.7572e-05
965,2.15956e-05,-5.93334e-06,-5.93334e-06,1.76316e-05
966,2.14709e-05,-6.21172e-06,-6.21172e-06,1.78141e-05
967,2.19493e-05,-6.14798e-06,-6.14798e-06,1.76359e-05
968,2.14389e-05,-5.94013e-06,-5.94013e-06,1.75895e-05
969,2.15949e-05,-5.97874e-06,-5.97874e-06,1.77183e-05
970,2.17687e-05,-6.20315e-06,-6.20315e-06,1.76706e-05
971,2.12499e-05,-5.91257e-06,-5.91257e-06,1.73861e-05
972,2.17653e-05,-6.26571e-06,-6.26571e-06,1.79196e-05
973,2.14552e-05,-6.27378e-06,-6.27378e-06,1.76045e-05
974,2.12832e-05,-5.99339e-06,-5.99339e-06,1.75879e-05
975,2.15425e-05,-6.01506e-06,-6.01506e-06,1.74973e-05
976,2.13937e-05,-6.31201e-06,-6.31201e-06,1.79011e-05
977,2.16273e-05,-6.08928e-06,-6.08928e-06,1.79997e-05
978,2.17617e-05,-6.01407e-06,-6.01407e-06,1.75112e-05
979,2.15878e-05,-6.19815e-06,-6.19815e-06,1.79261e-05
980,2.15775e-05,-6.08395e-06,-6.08395e-06,1.76296e-05
981,2.14059e-05,-6.25479e-06,-6.25479e-06,1.76704e-05
982,2.13901e-05,-5.82577e-06,-5.82577e-06,1.7498e-05
983,2.12059e-05,-6.20901e-06,-6.20901e-06,1.78736e-05
984,2.13776e-05,-6.08213e-06,-6.08213e-06,1.77977e-05
985,2.15534e-05,-6.16476e-06,-6.16476e-06,1.77826e-05
986,2.16681e-05,-6.31254e-06,-6.31254e-06,1.73736e-05
987,2.16276e-05,-5.94521e-06,-5.94521e-06,1.73509e-05
988,2.18508e-05,-6.09034e-06,-6.09034e-06,1.75539e-05
989,2.13063e-05,-6.13111e-06,-6.13111e-06,1.7702e-05
990,2.18808e-05,-6.42669e-06,-6.42669e-06,1.76222e-05
991,2.13091e-05,-6.16416e-06,-6.16416e-06,1.75839e-05
992,2.17802e-05,-6.56731e-06,-6.56731e-06,1.77445e-05
993,2.16996e-05,-6.43238e-06,-6.43238e-06,1.76105e-05
994,2.15764e-05,-6.52724e-06,-6.52724e-06,1.79646e-05
995,2.17079e-05,-6.20504e-06,-6.20504e-06,1.73443e-05
996,2.14134e-05,-6.22459e-06,-6.22459e-06,1.76047e-05
997,2.16423e-05,-6.33138e-06,-6.33138e-06,1.74316e-05
998,2.16415e-05,-6.371e-06,-6.371e-06,1.73027e-05
999,2.15127e-05,-6.20482e-06,-6.20482e-06,1.75896e-05
1000,2.16383e-05,-6.20662e-06,-6.20662e-06,1.76167e-05
